Age,Gender,Level,GPA,Teaching_Quality,Lab_Sessions,Study_Hours_Weekly,Structured_Plan,Study_Method,Class_Regularity,Living_Situation,Sleep_Hours_Daily,Physical_Activity,Success_Factors_Len,Improvement_Suggestions_Len,Decision
17,0,1,12,2,1,14,1,0,6,0,1,2,81,27,0
18,1,2,12.91,2,0,8,2,0,4,2,0,0,17,44,1
17,0,1,12,2,1,3,1,0,5,0,1,1,4,39,0
19,1,3,12.13,0,1,2,2,0,6,1,0,1,33,214,1
19,1,4,12.84,2,1,4,1,0,6,2,1,2,0,758,1
20,1,2,12,3,1,21,2,0,4,0,1,0,18,506,0
17,0,2,11.45,2,1,2.5,0,0,4,0,0,1,43,0,0
18,1,1,12.19,2,1,7,1,0,6,1,1,0,65,41,1
20,1,2,13.2,2,1,39,1,0,6,0,1,1,71,96,1
21,0,4,10.87,3,1,3,0,0,4,0,0,2,99,41,0
19,0,4,13,2,0,5,1,0,6,0,0,1,41,47,1
18,0,1,12,2,0,1,0,0,5,1,1,1,0,80,0
21,1,1,17.05,2,0,3,1,0,5,0,0,0,44,65,1
26,0,5,13,2,1,12,1,0,6,0,1,2,16,63,1
20,1,1,13,2,1,40,0,0,5,0,1,0,0,544,1
25,0,3,11.26,1,0,14,0,0,6,0,1,2,28,0,0
19,1,4,12.6,2,1,35,2,0,6,0,0,1,0,0,1
20,1,2,12.13,2,0,4,0,0,6,2,1,0,37,74,1
18,0,2,13,2,1,20,0,0,1,1,1,1,0,42,1
16,1,3,11,2,1,1,2,0,6,1,1,1,10,271,0
19,1,1,13,2,0,14,2,0,6,0,1,0,65,46,1
21,0,4,11.12,2,1,0,1,0,5,0,0,1,28,98,0
27,1,2,11.05,2,0,2,1,0,6,0,1,1,8,0,0
17,1,3,12,2,0,3,0,0,5,1,0,0,26,42,0
20,1,1,7,2,0,30,0,0,6,0,1,0,11,52,0
19,1,1,13,2,1,12,2,0,4,0,1,0,27,44,1
19,1,3,12,1,1,3,2,0,4,0,1,0,11,122,0
18,1,3,11.12,2,0,12,2,0,6,1,1,1,4,42,0
20,1,5,12,2,0,10,1,0,6,0,0,2,0,35,0
23,1,2,12,2,1,22,0,0,4,0,0,0,15,29,0
17,1,2,11.94,2,1,12,2,0,3,0,1,0,16,24,0
19,1,2,12,2,1,35,0,0,6,0,1,0,0,122,0
21,1,3,11,2,1,2.5,1,0,4,0,1,1,47,61,0
17,1,2,12.91,2,0,39,1,0,5,1,1,0,26,122,1
17,0,4,13,2,0,7,2,0,6,1,1,0,11,0,1
17,1,3,12,1,0,15,1,0,6,0,0,0,10,68,0
18,0,4,12,1,1,3.5,0,0,6,0,0,1,47,30,0
26,1,2,13,1,1,4,1,1,6,1,0,2,21,171,1
19,0,1,11,2,0,15,2,0,6,0,1,2,17,42,0
26,0,1,14,2,1,0,1,0,4,0,0,0,13,29,1
18,1,1,12.84,2,0,4,0,0,3,0,0,1,8,0,1
23,0,3,16,2,0,20,2,0,6,0,0,2,18,0,1
19,0,2,12,1,1,2,1,0,6,2,1,2,17,36,0
21,0,3,12,2,0,20,0,0,2,0,1,1,44,74,0
27,1,2,10,2,0,20,0,0,5,0,0,1,19,68,0
18,0,2,12,2,1,13,0,0,6,1,0,1,64,22,0
23,0,1,11.57,1,0,12,0,0,6,2,0,1,37,44,0
16,0,2,14,2,0,5,1,0,6,0,0,0,14,41,1
19,0,3,12.8,2,0,0,0,0,6,1,0,1,0,0,1
25,0,2,12.63,2,0,0,1,0,4,0,0,1,64,169,1
18,1,2,11.9,1,0,4,1,0,5,0,1,0,43,0,0
19,0,5,12,1,0,2,2,0,3,0,0,2,90,61,0
18,1,4,12,1,1,5,1,0,5,0,0,1,47,470,0
21,1,5,13,3,1,17,0,0,3,0,1,0,16,61,1
19,0,4,12.6,2,0,12,0,0,4,1,1,2,13,171,1
18,1,4,11.3,2,1,14,1,1,5,0,1,0,49,0,0
20,1,3,12,2,1,0,0,0,6,0,0,1,0,34,0
19,0,1,12.44,2,1,14,1,1,6,1,0,2,43,37,1
20,1,4,11.58,2,1,2,0,1,4,0,1,1,49,0,0
24,0,3,12,2,0,24,1,0,6,1,0,0,22,42,0
17,1,4,13.78,0,1,15,2,0,6,0,0,1,0,99,1
19,1,2,13,1,1,2,0,0,4,0,0,2,13,109,1
28,1,1,9,2,0,8,0,0,6,0,1,0,10,0,0
26,0,2,12.34,0,0,2.5,2,0,5,0,0,1,49,44,1
22,1,4,10,1,1,30,2,0,6,0,0,2,0,10,0
24,1,1,11.92,2,0,3,0,0,5,1,1,1,13,0,0
21,1,4,12,1,1,14,0,0,6,0,1,1,0,106,0
18,0,1,12,3,0,22,0,0,6,0,0,1,59,46,0
20,1,1,14.79,2,1,3,0,0,4,0,1,1,0,461,1
21,1,1,12,2,1,3,1,1,4,0,0,1,11,42,0
22,0,3,12.5,2,0,5,0,0,4,2,0,2,37,52,1
20,0,1,11,2,0,4,1,0,3,0,1,1,12,50,0
17,1,1,13,2,1,15,1,0,6,0,0,1,18,3,1
17,1,3,11.45,2,1,15,2,0,6,0,1,2,37,15,0
24,0,5,11,2,1,5.5,0,0,6,1,0,0,99,0,0
23,1,2,10.87,3,1,4,0,0,6,0,0,1,11,42,0
16,1,1,12.8,2,1,12,0,0,4,0,0,1,43,0,1
22,0,2,11.12,2,1,2,0,0,6,1,1,1,57,0,0
20,1,2,12,1,1,30,2,0,4,0,1,2,14,43,0
21,1,3,15,1,0,5,2,0,5,1,1,2,71,69,1
22,1,1,12,2,1,72,1,0,5,0,1,1,17,48,0
23,1,3,11.5,2,0,5,0,0,6,0,0,1,26,758,0
19,1,4,16,1,1,37.5,1,0,6,0,0,2,0,0,1
17,1,2,13,2,1,20,0,0,6,1,0,1,22,30,1
20,1,3,12,1,1,14,1,0,3,1,0,2,99,122,0
18,0,2,12,2,1,7,2,0,4,0,1,1,0,99,0
21,0,3,11,2,0,13,1,0,5,1,0,1,42,0,0
17,0,4,12.44,2,0,0,0,0,4,0,0,1,19,73,1
20,1,1,12,1,1,12,0,0,4,0,1,0,21,134,0
21,1,2,12,2,1,6,0,0,6,0,1,1,12,39,0
20,0,1,12.34,2,0,0,0,0,5,0,0,1,17,0,1
19,1,1,12,0,1,15,0,0,5,0,0,1,15,52,0
22,1,1,12,0,1,7,1,1,5,0,1,2,17,197,0
19,0,3,15,2,1,3,1,0,5,1,1,0,0,98,1
22,1,1,12.44,2,0,4,2,0,6,2,1,1,13,21,1
26,1,1,12,2,0,6.5,1,0,6,0,0,0,27,39,0
17,0,5,13,2,0,15,1,0,6,2,1,1,30,0,1
22,1,3,12.05,3,0,14,0,0,6,0,0,1,11,110,1
19,1,3,12,2,0,0,2,1,6,0,0,1,0,271,0
18,0,1,12.32,2,0,13,2,0,5,0,0,2,13,195,1
22,1,1,14,2,0,30,1,0,6,0,0,2,0,73,1
19,0,1,14,2,1,5,1,0,6,1,0,1,4,195,1
21,1,1,15,2,1,3,1,0,6,0,0,1,14,0,1
18,1,2,12,2,1,14,0,0,4,0,1,0,25,25,0
20,1,5,12.87,2,0,24,0,0,6,0,0,0,12,37,1
20,1,2,10,1,1,2,1,0,6,0,0,2,26,0,0
24,1,1,13,2,0,6,1,0,6,1,0,2,0,96,1
19,1,2,11.92,2,0,0,0,0,4,0,0,2,0,96,0
24,1,3,13.6,2,0,0,1,0,4,0,1,1,0,21,1
22,1,3,12.07,2,1,4,2,0,4,1,1,1,0,0,1
19,1,1,15,2,0,10,0,0,6,1,0,1,0,47,1
23,1,1,12.19,2,0,0,1,0,4,0,0,2,26,0,1
18,1,1,11,1,0,3.5,0,0,6,0,0,1,0,96,0
22,0,3,10,1,1,4,1,0,6,1,1,1,40,71,0
18,1,2,11,2,1,5,1,0,6,0,0,1,9,69,0
20,1,3,12.87,0,0,7,0,0,6,0,1,1,4,271,1
18,1,1,12,1,0,10,0,0,4,1,0,1,65,758,0
21,0,3,13,2,1,7,0,1,6,2,1,1,49,42,1
17,1,1,12,2,0,12,1,0,3,1,0,1,16,42,0
19,1,4,14,2,0,0,0,0,4,1,1,1,10,28,1
20,1,3,12,2,0,15,1,0,6,0,1,1,246,0,0
18,1,1,13,0,1,28,1,0,6,0,0,1,17,80,1
19,1,2,11,2,0,6,1,0,5,0,0,2,0,0,0
22,0,2,11,1,1,13,0,0,6,0,1,2,19,30,0
17,1,2,11,1,1,12,1,0,6,1,0,2,30,0,0
18,1,1,12.8,2,0,15,0,0,6,1,0,2,49,35,1
18,1,2,12.8,2,1,42.5,1,0,6,1,1,2,47,271,1
24,1,1,12.63,2,1,0,0,0,3,1,0,1,19,506,1
19,1,3,10,2,0,24,1,0,5,0,1,0,0,38,0
19,0,3,12.63,2,0,15,1,0,3,0,1,1,0,0,1
17,1,3,11.85,1,1,2,1,1,4,0,1,1,27,461,0
24,1,1,13.95,2,1,5,0,0,6,0,1,1,44,197,1
25,0,2,11.94,2,1,20,2,0,5,2,1,2,43,39,0
17,0,1,14,2,0,20,0,0,6,1,0,0,27,179,1
26,1,2,12.8,2,1,4,0,0,4,1,1,0,0,60,1
23,0,1,12,2,0,30,0,0,2,0,0,1,49,0,0
19,0,4,10,2,0,2,0,0,5,0,1,1,0,758,0
18,1,2,9,1,1,1,0,0,6,0,0,0,22,28,0
19,1,3,11,2,1,20,1,0,0,1,0,2,0,41,0
18,1,3,11.08,2,1,5,1,0,4,1,1,1,0,42,0
17,0,1,12,2,1,2,2,0,3,0,1,2,41,171,0
26,1,2,12,2,1,1,0,0,6,1,0,2,0,0,0
20,1,4,11.45,2,1,21,0,0,5,1,0,1,0,39,0
21,0,1,15.5,3,1,28,0,0,3,0,0,2,29,120,1
17,1,4,11.69,3,1,6.5,2,0,6,0,0,0,0,470,0
20,0,1,11.45,2,1,5,1,0,4,0,0,2,43,34,0
18,1,2,11,1,1,0,0,1,4,1,1,2,40,470,0
16,1,2,12,2,0,10,1,1,3,0,1,0,11,22,0
21,0,2,12.6,1,1,16,0,1,6,0,1,1,48,0,1
18,1,1,12,2,0,0,0,0,6,1,1,1,81,58,0
20,0,3,13.5,2,1,6.5,0,0,4,0,1,1,12,42,1
19,0,1,11,1,0,3,1,0,6,1,1,2,0,214,0
18,1,1,12.5,2,1,5,0,0,5,1,1,1,0,758,1
17,1,1,11,2,1,15,1,0,4,0,1,1,17,106,0
20,1,3,12,2,0,8,0,0,6,1,1,2,0,122,0
19,1,2,11.69,2,1,3.5,1,0,4,0,1,1,90,74,0
23,1,1,11.69,2,0,6,0,0,6,0,1,0,0,41,0
18,1,1,16,0,0,6,0,0,3,0,1,2,246,48,1
19,1,4,12,2,1,8,1,0,0,0,0,1,56,73,0
17,1,2,12,2,1,3,1,0,5,1,0,1,4,171,0
21,0,3,16,2,1,30,0,1,4,1,1,1,43,44,1
23,0,1,12,2,1,0,1,0,5,2,0,1,32,68,0
23,1,3,12,1,1,7,1,0,5,0,0,1,13,27,0
21,1,5,14,3,1,10,0,1,4,1,1,2,8,134,1
18,1,2,11.45,2,1,3,2,0,4,1,1,1,11,18,0
19,0,1,13,1,1,30,1,0,6,1,0,1,13,24,1
17,1,2,12.5,2,1,3,1,0,6,0,1,1,18,461,1
21,1,1,12,2,0,6,1,0,6,1,0,0,17,15,0
24,1,4,12.32,2,0,2,1,0,5,1,1,1,13,22,1
19,1,1,12,2,1,8,1,0,6,1,1,1,79,99,0
17,1,1,9,1,0,12,1,0,6,0,1,0,0,52,0
22,0,1,12.41,2,1,6,1,0,4,2,0,2,0,271,1
20,1,2,12.91,2,0,0,0,0,6,1,1,2,26,48,1
17,1,5,12.41,1,0,5,2,0,4,0,0,1,40,42,1
17,0,1,10,3,1,17,1,0,6,0,0,0,27,0,0
18,1,1,13,1,1,18,0,0,1,1,1,1,32,25,1
20,0,1,12.91,1,0,24,0,1,6,0,0,1,7,0,1
17,1,2,12,2,1,30,0,0,6,0,1,1,0,132,0
17,1,3,12,2,0,15,2,0,4,1,0,2,26,29,0
19,1,1,14,2,1,3,1,0,6,0,1,0,43,74,1
22,1,1,11.2,3,1,15,1,0,5,0,1,2,11,52,0
22,0,1,12,3,1,12,1,0,2,1,0,1,0,74,0
20,0,1,11.5,2,0,8,0,0,6,0,1,1,65,0,0
19,0,1,11.57,2,0,3,1,0,6,0,1,2,41,157,0
20,0,3,11.9,2,1,4,2,0,5,2,1,1,57,25,0
22,0,3,12,2,1,0,1,0,6,1,0,2,0,758,0
19,1,3,11.79,2,1,48,0,0,5,0,1,2,16,57,0
17,1,1,12.41,2,1,13,1,0,3,0,1,2,90,21,1
21,1,2,11,2,0,8,0,0,4,1,1,0,57,24,0
19,0,1,12.87,2,1,4,1,0,6,0,0,0,54,0,1
19,1,3,13,2,1,17,0,0,4,0,1,0,8,25,1
20,1,4,12,0,1,4,1,0,6,1,0,2,43,271,0
18,0,1,7,3,1,48,1,0,6,1,0,2,60,35,0
25,0,5,10,2,0,20,2,0,6,0,1,2,0,92,0
17,1,4,12,2,0,0,1,0,4,1,0,2,11,0,0
19,0,1,13,1,0,6,2,0,6,0,0,1,99,35,1
21,1,1,11,1,0,4,0,0,6,1,0,1,0,22,0
19,1,3,11.05,1,1,12,1,0,6,1,1,1,0,14,0
18,1,1,12,1,0,10,0,0,6,1,1,0,4,0,0
19,1,1,12,1,0,30,0,0,5,0,1,1,0,36,0
30,1,1,11.3,2,0,0,1,0,6,0,0,1,0,42,0
18,1,1,12.41,2,0,39,2,0,4,1,0,1,13,230,1
17,1,3,11.3,2,0,5,1,0,6,1,0,1,49,68,0
19,1,1,12,1,0,30,1,0,6,0,1,1,4,544,0
21,1,2,11.93,1,0,35,0,0,4,0,1,2,0,44,0
19,0,1,11,2,1,14,0,0,6,0,0,1,47,134,0
19,1,3,13.28,2,1,12,2,0,4,2,0,2,19,0,1
23,1,3,13.95,2,1,5,2,0,6,0,1,1,0,31,1
17,1,1,11,2,1,15,1,0,4,2,1,2,32,0,0
18,0,1,11,2,1,14,0,0,3,1,0,1,15,74,0
17,0,3,11,2,0,5,1,0,4,1,1,0,12,99,0
17,0,1,14.18,1,0,8,1,0,4,0,1,0,56,169,1
20,0,2,11.45,2,1,4,0,0,6,1,0,1,26,85,0
18,1,3,11.16,2,0,8,2,0,6,1,0,0,40,96,0
21,1,3,13.02,2,0,0,0,0,6,1,0,1,26,0,1
20,1,3,13,2,1,30,0,0,6,1,0,1,4,44,1
19,1,5,12,2,1,35,0,0,5,0,0,2,13,69,0
19,1,3,13,2,0,3.5,1,0,6,0,1,1,90,46,1
28,0,2,11,3,1,30,0,0,5,0,0,1,40,86,0
17,0,3,13.5,3,0,18,1,0,5,0,1,2,12,106,1
21,0,4,11,2,0,15,1,0,5,0,1,0,0,37,0
21,1,1,13,1,1,5,2,0,6,1,1,0,0,201,1
17,1,3,11,1,0,21,2,0,5,0,1,0,11,68,0
19,1,4,12,1,1,0,0,0,6,1,1,0,25,69,0
18,0,3,11,2,0,5,2,0,6,1,1,1,13,107,0
17,1,3,12.6,2,1,72,1,0,6,1,1,1,34,210,1
18,1,3,11.58,2,1,4,2,0,6,0,0,0,17,24,0
23,1,1,14,2,1,2,1,0,5,1,1,1,49,107,1
19,1,1,14.18,3,0,35,0,0,4,1,1,1,7,38,1
20,0,3,12.44,1,0,2,0,0,5,1,0,0,15,86,1
21,1,1,11.76,2,1,42.5,1,0,6,0,0,0,0,61,0
24,0,2,12,0,1,0,1,0,4,1,0,0,11,96,0
21,1,3,14.38,2,1,30,2,0,3,1,0,1,0,39,1
26,0,1,12,2,0,0,2,0,6,1,1,0,26,19,0
18,1,4,13.2,1,1,17,1,0,4,0,1,2,56,278,1
16,1,2,13,2,1,5.5,0,0,3,0,0,0,37,195,1
21,1,5,12.8,0,0,1,0,0,6,1,1,1,17,68,1
18,1,1,10,2,0,8,1,0,6,1,0,0,19,60,0
21,1,2,12,2,0,15,1,0,6,0,1,1,48,97,0
19,1,2,10,2,1,48,0,0,6,0,1,1,43,60,0
17,1,3,12,2,0,37.5,0,0,4,1,0,2,48,25,0
18,1,1,14.38,2,0,14,2,0,4,1,0,2,79,48,1
22,0,4,13,2,0,30,1,0,4,0,0,1,26,0,1
19,0,4,14,1,1,12,0,0,5,2,0,1,25,73,1
25,1,1,10,1,1,2,2,0,3,0,1,1,33,3,0
23,1,1,11.45,1,0,22,0,0,6,0,0,0,26,0,0
20,1,3,12.84,2,1,5,0,0,4,0,1,1,90,42,1
18,1,1,11.12,1,0,4,2,0,4,1,0,1,27,506,0
19,1,4,12,1,1,12,1,0,4,0,0,1,26,0,0
18,1,4,11,2,0,15,0,0,6,2,1,1,19,69,0
16,0,4,12,2,1,6,1,0,4,1,1,1,64,43,0
19,1,3,13,2,1,5,0,0,5,0,0,0,0,22,1
20,1,3,10,2,0,2.5,0,0,6,0,0,1,11,48,0
19,1,3,13,2,1,12,1,0,5,0,0,1,8,52,1
19,1,1,11.5,2,0,5.5,0,0,4,1,0,2,0,24,0
18,1,4,12.35,0,0,30,0,0,4,1,0,0,49,132,1
18,1,2,14.18,1,0,4,2,0,5,1,1,2,64,32,1
24,1,1,12.8,2,0,15,0,0,5,0,1,1,47,65,1
18,0,1,12,2,0,3,0,0,0,1,1,0,12,38,0
20,1,1,12,2,0,13,0,0,6,1,1,0,79,61,0
18,1,1,12.8,2,1,4,0,0,3,1,1,0,11,41,1
18,1,1,11.57,1,1,0,0,0,4,1,1,1,0,77,0
21,1,2,11,2,1,30,2,0,6,1,0,0,16,27,0
26,0,4,13,2,1,15,1,0,4,1,1,0,11,0,1
18,0,5,13,1,1,7,0,0,6,1,1,1,32,42,1
18,0,1,11.58,1,0,10,1,0,6,0,1,1,0,61,0
18,0,1,12.07,1,1,4,0,0,6,1,1,0,48,106,1
22,1,2,14,1,0,4,1,0,5,1,1,1,0,74,1
26,1,2,7,2,1,4,1,1,6,2,1,2,47,29,0
22,0,4,12.07,2,1,12,0,0,4,1,1,2,13,210,1
24,1,3,12.5,3,1,15,0,0,2,0,1,1,11,42,1
16,1,1,11.45,3,1,3,0,0,4,0,0,1,0,37,0
24,1,4,12,1,1,20,2,0,6,0,1,0,0,0,0
26,1,2,12.34,2,1,28,1,0,6,0,0,1,9,0,1
19,0,2,12,2,1,20,0,0,4,0,0,1,28,36,0
17,0,1,12,2,0,20,0,0,4,0,1,1,12,86,0
18,1,2,12,2,0,3,0,0,6,0,1,1,21,0,0
17,1,1,13.5,2,1,35,0,0,6,0,0,0,33,0,1
18,1,2,12.19,2,1,2,1,0,6,0,1,1,0,17,1
18,0,1,13.6,2,1,0,0,0,6,1,0,1,18,47,1
18,1,2,13,3,1,3,0,0,6,1,0,1,0,86,1
19,1,2,12.41,2,1,30,1,1,4,1,0,1,28,38,1
18,0,4,11.79,1,1,0,0,0,6,0,1,1,29,0,0
18,1,3,12.38,1,0,30,0,1,6,0,1,1,18,0,1
18,1,3,11,0,0,14,2,0,6,2,1,0,0,86,0
17,0,5,12.38,1,0,12,0,0,4,1,1,1,37,44,1
19,1,3,12.84,2,1,5,0,0,6,1,1,2,0,230,1
20,1,2,11.79,2,1,5,2,0,6,0,0,1,17,60,0
19,1,3,13.5,0,1,8,1,0,1,0,1,0,16,52,1
20,0,1,15.5,1,1,15,1,0,6,1,1,2,64,48,1
23,1,1,15.68,1,0,40,2,0,6,0,1,0,42,81,1
19,1,2,12,1,1,18,0,0,6,0,0,2,11,96,0
26,0,3,12,2,1,14,1,0,6,0,1,0,8,61,0
19,1,1,16,1,0,12,1,0,6,0,0,1,17,74,1
17,1,2,13.78,3,0,1,0,0,6,1,1,1,15,96,1
20,0,3,13.6,2,0,20,0,0,5,1,0,0,41,107,1
21,1,3,11.45,2,1,20,0,0,5,0,1,1,19,22,0
19,1,1,17.05,2,1,4,0,0,3,0,1,1,24,0,1
19,1,2,16,2,1,4,2,0,6,0,1,2,25,41,1
19,1,1,14,2,1,12,1,0,6,1,0,1,13,107,1
20,0,3,12,1,1,5,1,0,6,0,0,1,59,60,0
22,1,1,12,2,0,15,0,0,6,0,0,1,25,69,0
18,1,1,12,2,0,24,1,0,5,1,1,0,29,92,0
16,0,3,13.2,2,1,4,1,1,6,0,1,1,0,544,1
22,1,4,12,2,1,10,1,0,6,0,0,1,11,48,0
23,0,3,13.95,2,0,0,0,0,6,1,1,1,49,97,1
19,1,1,11,1,1,0,1,0,4,1,0,1,44,68,0
21,1,1,12,3,1,12,1,0,4,1,1,1,30,46,0
19,1,1,11.41,2,1,5,0,0,6,1,1,1,0,37,0
21,1,1,13.2,1,1,5,2,1,6,0,1,0,19,50,1
25,1,1,12,2,0,8,0,0,6,0,1,0,13,55,0
19,1,3,13.56,3,1,0,1,1,4,0,1,0,17,210,1
19,1,1,13.5,2,0,6,2,0,6,0,1,1,0,48,1
20,1,2,13.02,2,0,1,1,0,6,0,1,2,11,230,1
19,1,3,14,2,0,17,1,0,6,1,1,1,12,18,1
19,0,2,12,2,0,0,1,0,4,0,1,1,25,506,0
19,0,1,11,2,1,3,1,0,3,0,1,1,13,77,0
19,1,1,12.13,1,1,2,1,0,6,1,0,0,49,28,1
18,1,2,12,1,1,6,0,0,4,0,1,1,14,39,0
21,1,2,11,2,0,6,0,0,6,2,0,0,10,22,0
20,1,1,12.19,2,1,5,0,0,6,0,0,1,11,30,1
23,1,1,14,2,0,15,0,0,6,0,1,0,0,99,1
17,0,3,13,3,1,15,2,0,2,0,1,2,4,69,1
17,0,1,10,1,1,8,1,0,6,0,1,1,64,32,0
22,1,2,14,1,0,2.5,0,0,6,2,0,0,0,470,1
